연도,순위,제목,감독,주연1,주연2,개봉일,관객수,장르,수상
2018,39,성난황소,김민호,마동석,송지효,2018.11.22,1593386,액션,확인불가
2018,40,도어락,이권,공효진,김예원,2018.12.05,1561258,스릴러,브뤼셀국제판타스틱영화제
2018,41,리틀 포레스트,임순례,김태리,류준열,2018.02.28,1509356,드라마,춘사국제영화제
2018,42,골든슬럼버,노동석,강동원,김의성,2018.02.14,1387562,범죄/드라마,확인불가
2018,43,램페이지,브래드 페이튼,드웨인 존슨,제프리 딘 모건,2018.04.12,1385517,액션/어드벤처/SF,확인불가
2018,44,궁합,홍창표,심은경,이승기,2018.02.28,1340149,코미디/드라마,확인불가
2018,45,오션스8,게리 로스,산드라 블록,케이트 블란쳇,2018.06.13,1335839,범죄/액션,확인불가
2018,46,사라진 밤,이창희,김상경,김강우,2018.03.07,1315735,스릴러,대한민국 대학영화제
2018,47,스윙키즈,강형철,디오,자레드 그라임스,2018.12.19,1474124,드라마,한국영화제작가협회상
2018,48,바람 바람 바람,이병헌,이성민,신하균,2018.04.05,1194239,코미디,확인불가
2018,49,PMC: 더 벙커,김병우,하정우,이선균,2018.12.26,1671548,액션,한중국제영화제
2018,50,범블비,트래비스 나이트,헤일리 스테인펠드,존 시나,2018.12.25,1561643,액션/어드벤처/SF,확인불가
2019,1,극한직업,이병헌,류승룡,이하늬,2019.01.23,16266480,코미디,대종상영화제
2019,2,어벤져스: 엔드게임,앤서니 루소,조 루소,로버트 다우니 주니어,2019.04.24,13977602,액션/SF,미국배우조합상
2019,3,겨울왕국 2,크리스 벅,제니퍼 리,박지윤,2019.11.21,13750668,애니메이션/어드벤처/코미디/판타지/뮤지컬,확인불가
2019,4,알라딘,가이 리치,메나 마수드,윌 스미스,2019.05.23,12797927,어드벤처/판타지/가족/뮤지컬,확인불가
2019,5,기생충,봉준호,송강호,이선균,2019.05.30,10313735,드라마,일본아카데미상
2019,6,엑시트,이상근,조정석,윤아,2019.07.31,9427588,코미디/액션,황금촬영상
2019,7,스파이더맨: 파 프롬 홈,존 왓츠,톰 홀랜드,사무엘 L. 잭슨,2019.07.02,8023606,액션/어드벤처/코미디/SF,확인불가
2019,8,백두산,이해준,김병서,이병헌,2019.12.19,8253470,드라마/액션,청룡영화상
2019,9,캡틴 마블,애너 보든,라이언 플렉,브리 라슨,2019.03.06,5802811,액션/어드벤처/SF,MTV 영화 & TV 상
2019,10,조커,토드 필립스,호아킨 피닉스,로버트 드 니로,2019.10.02,5276513,스릴러,일본아카데미상
2019,11,봉오동 전투,원신연,유해진,류준열,2019.08.07,4788075,액션/드라마,춘사국제영화제
2019,12,라이온 킹,존 파브로,도널드 글로버,비욘세,2019.07.17,4743295,어드벤처/드라마/가족,새틀라이트시상식
2019,13,나쁜 녀석들: 더 무비,손용호,마동석,김상중,2019.09.11,4573902,범죄/액션,확인불가
2019,14,82년생 김지영,김도영,정유미,공유,2019.10.23,3679265,드라마,황금촬영상
2019,15,분노의 질주: 홉스&쇼,데이비드 레이치,드웨인 존슨,제이슨 스타뎀,2019.08.14,3657627,액션,확인불가
2019,16,토이 스토리 4,조시 쿨리,톰 행크스,팀 알렌,2019.06.20,3400623,애니메이션/어드벤처/코미디,아카데미시상식
2019,17,돈,박누리,류준열,유지태,2019.03.20,3389125,범죄,황금촬영상
2019,18,악인전,이원태,마동석,김무열,2019.05.15,3364924,범죄/액션,황금촬영상
2019,19,가장 보통의 연애,김한결,김래원,공효진,2019.10.02,2924564,로맨스/멜로,확인불가
2019,20,말모이,엄유나,유해진,윤계상,2019.01.09,2867184,드라마,피렌체 한국영화제
2019,21,증인,이한,정우성,김향기,2019.02.13,2535695,드라마,한국영화제작가협회상
2019,22,시동,최정열,마동석,박정민,2019.12.18,3318718,드라마,피렌체 한국영화제
2019,23,블랙머니,정지영,조진웅,이하늬,2019.11.13,2480329,범죄/드라마,황금촬영상
2019,24,터미네이터: 다크 페이트,팀 밀러,맥켄지 데이비스,아놀드 슈왈제네거,2019.10.30,2410227,액션/어드벤처/SF,확인불가
2019,25,사바하,장재현,이정재,박정민,2019.02.20,2398611,미스터리/스릴러,대종상영화제
2019,26,타짜: 원 아이드 잭,권오광,박정민,류승범,2019.09.11,2229311,범죄/드라마,확인불가
2019,27,신의 한 수: 귀수편,리건,권상우,김희원,2019.11.07,2159081,범죄/액션,확인불가
2019,28,알리타: 배틀 엔젤,로버트 로드리게즈,로사 살라자르,크리스토프 왈츠,2019.02.05,1958055,액션/어드벤처/로맨스/멜로/스릴러/SF,새틀라이트시상식
2019,29,내안의 그놈,강효진,진영,박성웅,2019.01.09,1917999,코미디,확인불가
2019,30,뺑반,한준희,공효진,류준열,2019.01.30,1827054,범죄/액션,확인불가
2019,31,변신,김홍선,배성우,성동일,2019.08.21,1804120,공포/스릴러,확인불가
2019,32,주먹왕 랄프 2: 인터넷 속으로,필 존스턴,리치 무어,존 C. 라일리,2019.01.03,1758891,애니메이션/어드벤처/코미디/판타지,확인불가
2019,33,걸캅스,정다원,라미란,이성경,2019.05.09,1629580,코미디/액션,춘사국제영화제
2019,34,사자,김주환,박서준,안성기,2019.07.31,1611163,미스터리/액션/판타지/공포,황금촬영상
2019,35,아쿠아맨,제임스 완,제이슨 모모아,앰버 허드,2018.12.19,5041187,액션,확인불가
2019,36,드래곤 길들이기 3,딘 데블로이스,제이 바루첼,아메리카 페레라,2019.01.30,1507922,애니메이션/어드벤처,미국비평가협회상
2019,37,나의 특별한 형제,육상효,신하균,이광수,2019.05.01,1478841,드라마/코미디,황금촬영상
2019,38,어스,조던 필,루피타 뇽오,윈스턴 듀크,2019.03.27,1475088,공포/스릴러,크리틱스 초이스 시상식
2019,39,말레피센트 2,요아킴 뢰닝,안젤리나 졸리,미셸 파이퍼,2019.10.17,1444952,어드벤처/가족/판타지,확인불가
2019,40,유열의 음악앨범,정지우,김고은,정해인,2019.08.28,1245612,로맨스/멜로/드라마,부일영화상
2019,41,퍼펙트맨,용수,설경구,조진웅,2019.10.02,1240022,코미디/드라마,확인불가
2019,42,포드 V 페라리,제임스 맨골드,맷 데이먼,크리스찬 베일,2019.12.04,1371137,액션/드라마,새틀라이트시상식
2019,43,생일,이종언,설경구,전도연,2019.04.03,1197806,드라마,백상예술대상
2019,44,"힘을 내요, 미스터 리",이계벽,차승원,엄채영,2019.09.11,1182002,코미디/드라마,확인불가
2019,45,항거:유관순 이야기,조민호,고아성,김새벽,2019.02.27,1158248,드라마,확인불가
2019,46,장사리 : 잊혀진 영웅들,곽경택,김태훈,김명민,2019.09.25,1140876,전쟁,황금촬영상
2019,47,마이펫의 이중생활 2,크리스 리노드,패튼 오스왈트,케빈 하트,2019.07.31,1114949,애니메이션/어드벤처/코미디/가족,확인불가
2019,48,롱 리브 더 킹: 목포 영웅,강윤성,김래원,원진아,2019.06.19,1094404,액션/드라마,충북국제무예액션영화제
2019,49,쥬만지: 넥스트 레벨,제이크 캐스단,드웨인 존슨,잭 블랙,2019.12.11,1057269,액션/어드벤처,확인불가
2019,50,존 윅 3: 파라벨룸,채드 스타헬스키,키아누 리브스,할리 베리,2019.06.26,1007930,액션/범죄/스릴러,확인불가
2020,1,남산의 부장들,우민호,이병헌,이성민,2020.01.22,4750345,드라마,디렉터스 컷 어워즈
2020,2,다만 악에서 구하소서,홍원찬,황정민,이정재,2020.08.05,4357803,범죄/액션,춘사국제영화제
2020,3,반도,연상호,강동원,이정현,2020.07.15,3812250,액션/드라마,디렉터스 컷 어워즈
2020,4,히트맨,최원섭,권상우,정준호,2020.01.22,2406232,코미디/액션,확인불가
2020,5,테넷,크리스토퍼 놀란,존 데이비드 워싱턴,로버트 패틴슨,2020.08.26,2009304,액션/SF,아카데미시상식
2020,6,백두산,이해준,김병서,이병헌,2019.12.19,8253470,드라마/액션,청룡영화상
2020,7,#살아있다,조일형,유아인,박신혜,2020.06.24,1903992,드라마,대한민국 대학영화제
2020,8,강철비2: 정상회담,양우석,정우성,곽도원,2020.07.29,1791843,드라마/액션,한국영화제작가협회상
2020,9,담보,강대규,성동일,하지원,2020.09.29,1719689,드라마,황금촬영상
2020,10,닥터 두리틀,스티븐 개건,로버트 다우니 주니어,톰 홀랜드,2020.01.08,1607082,코미디/가족/판타지,골든라즈베리시상식
2020,11,삼진그룹 영어토익반,이종필,고아성,이솜,2020.10.21,1572616,드라마,한국영화제작가협회상
2020,12,정직한 후보,장유정,라미란,김무열,2020.02.12,1538741,코미디,청룡영화상
2020,13,도굴,박정배,이제훈,조우진,2020.11.04,1545281,범죄,확인불가
2020,14,클로젯,김광빈,하정우,김남길,2020.02.05,1270907,미스터리/드라마,브뤼셀국제판타스틱영화제
2020,15,오케이 마담,이철하,엄정화,박성웅,2020.08.12,1229372,코미디/액션,확인불가
2020,16,해치지않아,손재곤,안재홍,강소라,2020.01.15,1224726,코미디,확인불가
2020,17,천문: 하늘에 묻는다,허진호,최민식,한석규,2019.12.26,2000735,시대극,확인불가
2020,18,결백,박상현,신혜선,배종옥,2020.06.10,894025,드라마,춘사국제영화제
2020,19,1917,샘 멘데스,조지 맥케이,딘 찰스 채프먼,2020.02.19,882432,전쟁/드라마,다비드 디 도나텔로 어워드
2020,20,작은 아씨들,그레타 거윅,시얼샤 로넌,엠마 왓슨,2020.02.12,864822,드라마/로맨스/멜로,아카데미시상식
2020,21,미드웨이,롤랜드 에머리히,에드 스크레인,패트릭 윌슨,2019.12.31,959247,액션/드라마/전쟁,확인불가
2020,22,시동,최정열,마동석,박정민,2019.12.18,3318718,드라마,피렌체 한국영화제
2020,23,지푸라기라도 잡고 싶은 짐승들,김용훈,전도연,정우성,2020.02.19,629279,범죄/스릴러,춘사국제영화제
2020,24,미스터 주: 사라진 VIP,김태윤,이성민,김서형,2020.01.22,604143,코미디/드라마,확인불가
2020,25,인비저블맨,리 워넬,엘리자베스 모스,올리버 잭슨 코헨,2020.02.26,575043,공포,시카고비평가협회상
2020,26,나쁜 녀석들: 포에버,아딜 엘 아르비,빌랄 팔라,윌 스미스,2020.01.15,547805,액션,확인불가
2020,27,국제수사,김봉한,곽도원,김대명,2020.09.29,537470,액션/드라마/범죄,확인불가
2020,28,침입자,손원평,송지효,김무열,2020.06.04,532047,미스터리/스릴러,확인불가
2020,29,스타워즈: 라이즈 오브 스카이워커,J.J. 에이브람스,데이지 리들리,존 보예가,2020.01.08,507891,액션/어드벤처/판타지/SF,확인불가
2020,30,스파이 지니어스,닉 브루노,트로이 콴,윌 스미스,2020.01.22,450932,애니메이션/액션/어드벤처/코미디/가족/SF,확인불가
2020,31,이웃사촌,이환경,정우,오달수,2020.11.25,431559,코미디/드라마,확인불가
2020,32,온워드: 단 하루의 기적,댄 스캔론,톰 홀랜드,크리스 프랫,2020.06.17,418474,애니메이션/어드벤처/판타지,확인불가
2020,33,소리도 없이,홍의정,유아인,유재명,2020.10.15,403530,범죄/드라마,디렉터스 컷 어워즈
2020,34,버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,마고 로비,메리 엘리자베스 윈스티드,2020.02.05,402035,액션/어드벤처/범죄,확인불가
2020,35,원더 우먼 1984,패티 젠킨스,갤 가돗,크리스 파인,2020.12.23,548695,액션/어드벤처/판타지,미국배우조합상
2020,36,겨울왕국 2,크리스 벅,제니퍼 리,박지윤,2019.11.21,13750668,애니메이션/어드벤처/코미디/판타지/뮤지컬,확인불가
2020,37,오! 문희,정세교,나문희,이희준,2020.09.02,354438,코미디/드라마,확인불가
2020,38,그린랜드,릭 로만 워,제라드 버틀러,모레나 바카린,2020.09.29,326130,액션/스릴러,확인불가
2020,39,위대한 쇼맨,마이클 그레이시,휴 잭맨,잭 에프론,2017.12.20,1721355,뮤지컬/드라마,골든글로브시상식
2020,40,런,아니쉬 차칸티,사라 폴슨,키에라 앨런,2020.11.20,284141,미스터리/스릴러,선댄스영화제
2020,41,뮬란,니키 카로,유역비,이연걸,2020.09.17,236247,어드벤처/드라마/가족,확인불가
2020,42,내가 죽던 날,박지완,김혜수,이정은,2020.11.12,234522,드라마,청룡영화상
2020,43,기생충,봉준호,송강호,이선균,2019.05.30,10313735,드라마,일본아카데미상
2020,44,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,조현정,양정화,2019.12.19,894826,애니메이션,확인불가
2020,45,프리즌 이스케이프,프랜시스 아난,다니엘 래드클리프,다니엘 웨버,2020.05.06,217056,스릴러,확인불가
2020,46,검객,최재훈,장혁,김현수,2020.09.23,190237,액션,황금촬영상
2020,47,조제,김종관,한지민,남주혁,2020.12.10,212439,로맨스/멜로,확인불가
2020,48,사라진 시간,정진영,조진웅,배수빈,2020.06.18,185802,미스터리/드라마,들꽃영화제
2020,49,밤쉘: 세상을 바꾼 폭탄선언,제이 로치,샤를리즈 테론,니콜 키드먼,2020.07.08,182648,드라마,아카데미시상식
2020,50,알라딘,가이 리치,메나 마수드,윌 스미스,2019.05.23,12797927,어드벤처/판타지/가족/뮤지컬,확인불가
2021,1,스파이더맨: 노 웨이 홈,존 왓츠,톰 홀랜드,젠데이아 콜먼,2021.12.15,7551990,액션/어드벤처/SF,MTV 영화 & TV 상
2021,2,모가디슈,류승완,김윤석,조인성,2021.07.28,3619496,액션/드라마,춘사국제영화제
2021,3,이터널스,클로이 자오,젬마 찬,리처드 매든,2021.11.03,3050518,액션/어드벤처/드라마,확인불가
2021,4,블랙 위도우,케이트 쇼트랜드,스칼렛 요한슨,플로렌스 퓨,2021.07.07,2962088,액션/어드벤처/SF,MTV 영화 & TV 상
2021,5,분노의 질주: 더 얼티메이트,저스틴 린,빈 디젤,존 시나,2021.05.19,2292413,액션,확인불가
2021,6,싱크홀,김지훈,차승원,김성균,2021.08.11,2195683,드라마,황금촬영상
2021,7,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,이경태,김연우,2021.01.27,2189110,애니메이션/판타지/액션/시대극,아시아필름어워즈
2021,8,베놈 2: 렛 데어 비 카니지,앤디 서키스,톰 하디,미셀 윌리엄스,2021.10.13,2123652,액션/SF/스릴러,확인불가
2021,9,소울,피트 닥터,켐프 파워스,제이미 폭스,2021.01.20,2048917,애니메이션/판타지,아카데미시상식
2021,10,크루엘라,크레이그 길레스피,엠마 스톤,엠마 톰슨,2021.05.26,1983676,드라마/범죄/코미디,아카데미시상식
2021,11,샹치와 텐 링즈의 전설,데스틴 다니엘 크레톤,시무 리우,양조위,2021.09.01,1740871,액션/어드벤처/판타지/SF,확인불가
2021,12,인질,필감성,황정민,김재범,2021.08.18,1638437,액션/스릴러,한국영화제작가협회상
2021,13,듄,드니 빌뇌브,티모시 샬라메,레베카 퍼거슨,2021.10.20,1623132,SF,새틀라이트시상식
2021,14,보이스,김선,김곡,변요한,2021.09.15,1427380,범죄/액션,확인불가
2021,15,007 노 타임 투 다이,캐리 조지 후쿠나가,다니엘 크레이그,라미 말렉,2021.09.29,1229971,액션,아카데미시상식
2021,16,미나리,리 아이작 정,스티븐 연,한예리,2021.03.03,1134788,드라마,춘사국제영화제
2021,17,발신제한,김창주,조우진,이재인,2021.06.23,955883,스릴러/드라마,확인불가
2021,18,보스 베이비 2,톰 맥그래스,알렉 볼드윈,아미 세다리스,2021.07.21,925277,애니메이션/가족/어드벤처,확인불가
2021,19,콰이어트 플레이스 2,존 크래신스키,에밀리 블런트,존 크래신스키,2021.06.16,863339,스릴러,확인불가
2021,20,랑종,반종 피산다나쿤,나릴야 군몽콘켓,싸와니 우툼마,2021.07.14,834534,공포/스릴러/드라마,부천국제판타스틱영화제
2021,21,유체이탈자,윤재근,윤계상,박용우,2021.11.24,819000,액션,황금촬영상
2021,22,컨저링3: 악마가 시켰다,마이클 차베스,베라 파미가,패트릭 윌슨,2021.06.03,799457,공포,확인불가
2021,23,기적,이장훈,박정민,이성민,2021.09.15,716902,드라마,파리한국영화제
2021,24,고질라 VS. 콩,아담 윈가드,알렉산더 스카스가드,밀리 바비 브라운,2021.03.25,703485,액션,확인불가
2021,25,킹스맨: 퍼스트 에이전트,매튜 본,랄프 파인즈,해리스 디킨슨,2021.12.22,1029365,액션,확인불가
2021,26,엔칸토: 마법의 세계,바이런 하워드,자레드 부시,채리스 카스트로 스미스,2021.11.24,631973,애니메이션/뮤지컬,새틀라이트시상식
2021,27,연애 빠진 로맨스,정가영,전종서,손석구,2021.11.24,606871,로맨스/멜로/코미디,충무로영화제-감독주간
2021,28,장르만 로맨스,조은지,류승룡,오나라,2021.11.17,518491,드라마/코미디,황금촬영상
2021,29,미션 파서블,김형주,김영광,이선빈,2021.02.17,447111,코미디/액션,확인불가
2021,30,더 수어사이드 스쿼드,제임스 건,마고 로비,이드리스 엘바,2021.08.04,419796,액션,확인불가
2021,31,비와 당신의 이야기,조진모,강하늘,천우희,2021.04.28,401193,드라마/로맨스/멜로,황금촬영상
2021,32,서복,이용주,공유,박보검,2021.04.15,385296,드라마,한국영화제작가협회상
2021,33,킬러의 보디가드 2,확인불가,확인불가,확인불가,확인불가,0,확인불가,확인불가
2021,34,루카,엔리코 카사로사,제이콥 트렘블레이,잭 딜런 그레이저,2021.06.17,371572,애니메이션/어드벤처/가족/판타지,확인불가
2021,35,자산어보,이준익,설경구,변요한,2021.03.31,342796,시대극,피렌체 한국영화제
2021,36,내일의 기억,서유민,서예지,김강우,2021.04.21,335051,미스터리/스릴러,황금촬영상
2021,37,라야와 마지막 드래곤,돈 할,카를로스 로페즈 에스트라다,켈리 마리 트랜,2021.03.04,322920,애니메이션/어드벤처/코미디,워싱턴비평가협회상
2021,38,프리 가이,숀 레비,라이언 레이놀즈,조디 코머,2021.08.11,313842,액션/어드벤처,MTV 영화 & TV 상
2021,39,더 스파이,도미닉 쿡,베네딕트 컴버배치,메랍 니니트쩨,2021.04.28,313022,스릴러,확인불가
2021,40,강릉,윤영빈,유오성,장혁,2021.11.10,306809,액션/범죄,확인불가
2021,41,정글 크루즈,자움 콜렛 세라,드웨인 존슨,에밀리 블런트,2021.07.28,251071,액션/어드벤처,확인불가
2021,42,명탐정 코난: 비색의 탄환,나가오카 치카,타카야마 미나미,야마자키 와카나,2021.04.16,234945,애니메이션/미스터리,확인불가
2021,43,캐시트럭,가이 리치,제이슨 스타뎀,홀트 맥칼라니,2021.06.09,231992,액션,확인불가
2021,44,크루즈 패밀리: 뉴 에이지,조엘 크로포드,엠마 스톤,라이언 레이놀즈,2021.05.05,230057,애니메이션/어드벤처/코미디,확인불가
2021,45,이스케이프 룸 2: 노 웨이 아웃,애덤 로비텔,테일러 러셀,로건 밀러,2021.07.14,223313,액션/공포/스릴러,확인불가
2021,46,"극장판 포켓몬스터: 정글의 아이, 코코",야지마 테츠오,성완경,이선호,2021.09.15,213913,애니메이션/어드벤처,확인불가
2021,47,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,쿄고쿠 타카히코,박영남,김환진,2021.09.15,199726,애니메이션/코미디/액션,확인불가
2021,48,매트릭스: 리저렉션,라나 워쇼스키,키아누 리브스,캐리 앤 모스,2021.12.22,213693,액션/SF,확인불가
2021,49,방법: 재차의,김용완,엄지원,정지소,2021.07.28,175578,미스터리/스릴러,확인불가
2021,50,새해전야,홍지영,김강우,유인나,2021.02.10,171500,로맨스/멜로/드라마,확인불가
2022,1,범죄도시2,이상용,마동석,손석구,2022.05.18,12693415,범죄/액션,황금촬영상
2022,2,탑건: 매버릭,조셉 코신스키,톰 크루즈,마일스 텔러,2022.06.22,8224327,액션,MTV 영화 & TV 상
2022,3,아바타: 물의 길,제임스 카메론,샘 워싱턴,조 샐다나,2022.12.14,10805065,액션/어드벤처/SF/스릴러,아카데미시상식
2022,4,한산: 용의 출현,김한민,박해일,변요한,2022.07.27,7265618,액션/드라마,백상예술대상
2022,5,공조2: 인터내셔날,이석훈,현빈,유해진,2022.09.07,6983077,액션/코미디,황금촬영상
2022,6,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,베네딕트 컴버배치,엘리자베스 올슨,2022.05.04,5884595,액션/어드벤처/판타지,MTV 영화 & TV 상
2022,7,헌트,이정재,이정재,정우성,2022.08.10,4352513,액션/드라마,백상예술대상
2022,8,올빼미,안태진,류준열,유해진,2022.11.23,3329634,스릴러,청룡영화상
2022,9,쥬라기 월드: 도미니언,콜린 트레보로우,크리스 프랫,브라이스 달라스 하워드,2022.06.01,2837413,액션/어드벤처/SF,확인불가
2022,10,마녀(魔女) Part2. The Other One,박훈정,신시아,박은빈,2022.06.15,2806501,액션,확인불가
2022,11,토르: 러브 앤 썬더,타이카 와이티티,크리스 헴스워스,나탈리 포트만,2022.07.06,2716306,액션/어드벤처/판타지,확인불가
2022,12,미니언즈2,카일 발다,스티브 카렐,타라지 P. 헨슨,2022.07.20,2269033,애니메이션/어드벤처/코미디/가족,확인불가
2022,13,블랙 팬서: 와칸다 포에버,라이언 쿠글러,레티티아 라이트,루피타 뇽오,2022.11.09,2105988,액션/어드벤처/SF,아카데미시상식
2022,14,비상선언,한재림,송강호,이병헌,2022.08.03,2058869,드라마,아시아필름어워즈
2022,15,스파이더맨: 노 웨이 홈,존 왓츠,톰 홀랜드,젠데이아 콜먼,2021.12.15,7551990,액션/어드벤처/SF,MTV 영화 & TV 상
2022,16,육사오(6/45),박규태,고경표,이이경,2022.08.24,1981014,코미디,백상예술대상
2022,17,헤어질 결심,박찬욱,박해일,탕웨이,2022.06.29,1904127,로맨스/멜로/드라마,백상예술대상
2022,18,외계+인 1부,최동훈,류준열,김우빈,2022.07.20,1540630,액션/판타지/SF,황금촬영상
2022,19,영웅,윤제균,정성화,김고은,2022.12.21,3274742,드라마/뮤지컬,대종상영화제
2022,20,해적: 도깨비 깃발,김정훈,강하늘,한효주,2022.01.26,1339242,어드벤처/액션/코미디,확인불가
2022,21,브로커,고레에다 히로카즈,송강호,강동원,2022.06.08,1261173,드라마,아시아필름어워즈
2022,22,신비한 동물들과 덤블도어의 비밀,데이빗 예이츠,에디 레드메인,주드 로,2022.04.13,1195443,판타지/어드벤처,확인불가
2022,23,인생은 아름다워,최국희,류승룡,염정아,2022.09.28,1172513,뮤지컬,대종상영화제
2022,24,더 배트맨,매트 리브스,로버트 패틴슨,폴 다노,2022.03.01,906659,액션/범죄/미스터리/드라마,워싱턴비평가협회상
2022,25,데시벨,황인호,김래원,이종석,2022.11.16,901426,액션,확인불가
2022,26,정직한 후보2,장유정,라미란,김무열,2022.09.28,899899,코미디,황금촬영상
2022,27,씽2게더,가스 제닝스,매튜 맥커너히,리즈 위더스푼,2022.01.05,885727,애니메이션,확인불가
2022,28,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,코바야시 유미코,나라하시 미키,2022.09.28,837755,애니메이션/코미디/가족/미스터리,확인불가
2022,29,블랙 아담,자움 콜렛 세라,드웨인 존슨,노아 센티네오,2022.10.19,779489,액션/어드벤처/SF,확인불가
2022,30,킹메이커,변성현,설경구,이선균,2022.01.26,783567,드라마,황금촬영상
2022,31,자백,윤종석,소지섭,김윤진,2022.10.26,738122,범죄/스릴러,판타스포르토국제영화제
2022,32,언차티드,루벤 플레셔,톰 홀랜드,마크 월버그,2022.02.16,730847,액션/어드벤처,확인불가
2022,33,경관의 피,이규만,조진웅,최우식,2022.01.05,684667,범죄/드라마,확인불가
2022,34,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",미키 타카히로,미치에다 슌스케,후쿠모토 리코,2022.11.30,1164776,로맨스/멜로,일본아카데미상
2022,35,극장판 주술회전 0,박성후,오가타 메구미,하나자와 카나,2022.02.17,664565,애니메이션/액션/어드벤처/판타지,확인불가
2022,36,압꾸정,임진순,마동석,정경호,2022.11.30,608639,코미디/드라마,확인불가
2022,37,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,유야마 쿠니히코,이선호,김영선,2022.06.01,581223,애니메이션/어드벤처/판타지,확인불가
2022,38,이상한 나라의 수학자,박동훈,최민식,김동휘,2022.03.09,534291,드라마,피렌체 한국영화제
2022,39,명탐정 코난: 할로윈의 신부,미츠나카 스스무,타카야마 미나미,야마자키 와카나,2022.07.13,495842,애니메이션/미스터리,확인불가
2022,40,동감,서은영,여진구,조이현,2022.11.16,490145,로맨스/멜로,확인불가
2022,41,모비우스,대니얼 에스피노사,자레드 레토,맷 스미스,2022.03.30,475928,액션/어드벤처/공포/SF,골든라즈베리시상식
2022,42,늑대사냥,김홍선,서인국,장동윤,2022.09.21,458720,액션,시체스국제판타스틱영화제
2022,43,뽀로로 극장판 드래곤캐슬 대모험,강승훈,윤제완,이선,2022.07.28,451036,애니메이션,부천국제판타스틱영화제
2022,44,특송,박대민,박소담,송새벽,2022.01.12,444417,범죄/액션,황금촬영상
2022,45,니 부모 얼굴이 보고 싶다,김지훈,설경구,오달수,2022.04.27,416524,드라마,확인불가
2022,46,놉,조던 필,다니엘 칼루유야,케케 팔머,2022.08.17,416048,미스터리/공포,뉴욕비평가협회상
2022,47,리멤버,이일형,이성민,남주혁,2022.10.26,412836,드라마,확인불가
2022,48,킹스맨: 퍼스트 에이전트,매튜 본,랄프 파인즈,해리스 디킨슨,2021.12.22,1029365,액션,확인불가
2022,49,배드 가이즈,피에르 페리펠,샘 록웰,마크 마론,2022.05.04,400329,애니메이션/범죄/액션,확인불가
2022,50,뜨거운 피,천명관,정우,김갑수,2022.03.23,398105,범죄/드라마,백상예술대상
